SN,KP,PMID,Triple,Category,Gene Symbol,Cell type,Disease,Drugs,Pathway,Symptoms,Patient characteristics,Expression level,Markers,Environmental factors,Metabolites,Fact or Inference,一级标签,二级标签,三级标签,四级标签,五级标签,最具体的标签描述
7970,KP1,33177839,NCAPG overexpression#correlates with#poor prognosis in multiple cancer types,Expression Patterns,NCAPG,-,Multiple cancer types,-,-,-,-,upregulated,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
528,KP1,33177839,NCAPG overexpression#was found in#CA tissues and cell lines,Expression Patterns,NCAPG,-,CA,-,-,-,-,upregulated,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,-,细胞周期蛋白
1695,KP1,33177839,NCAPG upregulation#promoted#cell proliferation,Mechanism of Action,NCAPG,-,-,-,-,-,-,upregulated,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
1175,KP1,33177839,Overexpressed NCAPG#activated#PI3K/AKT signaling pathway in CA cells,Signaling Networks,"NCAPG,PIK3CA,AKT1",-,CA,-,PI3K/AKT,-,-,upregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
5103,KP1,33177839,"NCAPG overexpression#increased#phosphorylated PI3K, AKT, and GSK3β levels in CA cells",Signaling Networks,"NCAPG,PIK3CA,AKT1,GSK3B",-,CA,-,PI3K/AKT,-,-,upregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.3,1.3.1.3,协同效应
3034,KP1,33177839,NCAPG#regulated#cell cycle through PI3K/AKT signaling pathway activation,Cell Cycle Control,"NCAPG,PIK3CA,AKT1",-,-,-,PI3K/AKT,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
1867,KP1,33427211,"CDK4/6 inhibitors#are an established treatment for#hormone receptor-positive, HER2-negative metastatic breast cancers",Therapeutic Development,"CDK4,CDK6,ERBB2",-,Metastatic breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2070,KP1,14645011,Disruption of p18INK4c#impairs#B-cell terminal differentiation,Immune Cell Functions,CDKN2C,B cells,Tumor,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.2,1.4.2.2,-,分化标志物表达
4613,KP1,14645011,Disruption of p18INK4c#confers#increased susceptibility to tumor development,Cancer Pathways,CDKN2C,-,Tumor,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.1,-,增殖信号整合
3320,KP1,14645011,p18INK4c immunostaining#correlates with#shorter overall survival in negative cases,Prognostic Associations,CDKN2C,-,-,-,-,Negative cases,-,-,-,-,-,Fact,7,7.2,7.2.1,7.2.1.1,7.2.1.1.3,p16表达
6594,KP1,31988001,BRG1 inactivation#increases#tumor aggressiveness,Cancer Association,SMARCA4,-,Tumor,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.3,-,增殖抑制机制
1153,KP1,31988001,BRG1 inactivation#enhances#sensitivity to drugs targeting CDK4 or CDK6,Therapeutic Response,"SMARCA4,CDK4,CDK6",-,-,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
703,KP1,31988001,"Deficient BRG1 expression#is detected in#adenocarcinomas with co-occurring KRAS, TP53, KEAP1, and STK11 mutations",Expression Patterns,"SMARCA4,KRAS,TP53,KEAP1,STK11",-,Adenocarcinomas,-,-,-,-,Downregulated,-,-,-,Fact,1,1.5,1.5.2,1.5.2.3,-,抑制复合物
7021,KP1,35100692,"Pathways#were identified as#aberrant if there were copy number aberrations or mutations in CCND1, CCND2, CCND3, CDK4, CDK6",Signaling Networks,"CCND1,CCND2,CCND3,CDK4,CDK6",-,-,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.2,-,CCND1扩增
4369,KP1,15994928,Homozygous deletion near PTPRD locus#was found in#small cell lung carcinoma (SCLC) and non-small cell lung carcinoma (NSCLC),Cancer Pathways,PTPRD,-,"SCLC, NSCLC",-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.2,5.3.2.4,-,肿瘤抑制子缺失
7212,KP1,15994928,High-level amplification of EGFR#was identified in#NSCLC specimens,Cancer Pathways,EGFR,-,NSCLC,-,-,-,-,Upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.4,-,基因组不稳定性
1094,KP1,9101469,p16 (MST1)#binds to#CDK4 and CDK6,Protein Complex Dynamics,"CDKN2A,CDK4,CDK6",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
1876,KP1,9101469,p16 (MST1)#prevents#interaction of CDK4/CDK6 with cyclin D1,Cell Cycle Control,"CDKN2A,CDK4,CDK6",Cyclin D1,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
3861,KP1,9101469,p16 gene sequencing#showed#no mutation resulting in coding error in ovarian tumors,Mutation Frequencies,CDKN2A,-,Ovarian tumor,-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.4,-,剪切位点突变
90,KP1,27276112,Loss of CDKN2A promoter methylation#coincides with#epigenetic transdifferentiation of uterine myosarcomatous cells,Epigenetic Modifications,CDKN2A,-,Uterine myosarcoma,-,-,-,-,-,-,-,-,Fact,1,1.5,1.5.3,1.5.3.2,-,微小RNA
1388,KP1,27276112,Transdifferentiation from smooth muscle#coincides with#striated muscle phenotype,Mechanism of Action,CDKN2A,-,Uterine leiomyosarcoma,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.2,1.4.2.1,-,谱系特异性分化
6949,KP1,27276112,Methylation-specific polymerase chain reaction#revealed#presence of methylated and unmethylated alleles in leiomyosarcomatous cells,Regulation,CDKN2A,Leiomyosarcomatous cells,Uterine leiomyosarcoma,-,-,-,-,-,-,-,-,Fact,5,5.6,5.6.3,5.6.3.1,-,表观遗传调控
2900,KP1,27276112,Two unmethylated alleles#were detected#in rhabdomyosarcomatous cells,Regulation,CDKN2A,Rhabdomyosarcomatous cells,Uterine leiomyosarcoma,-,-,-,-,-,-,-,-,Fact,5,5.6,5.6.3,5.6.3.1,-,表观遗传调控
6187,KP1,27276112,Loss of heterozygosity methylation in CDKN2A promoter region#occurred only in#rhabdomyosarcomatous cells,Regulation,CDKN2A,Rhabdomyosarcomatous cells,Uterine leiomyosarcoma,-,-,-,-,upregulated,-,-,-,Fact,5,5.6,5.6.3,5.6.3.1,-,表观遗传调控
3622,KP1,27276112,Inhibition of cdk4/cdk6 activity#stabilizes#p53 tumor suppressor protein,Mechanism of Action,"CDKN2A, CDK4, CDK6, TP53",-,Uterine leiomyosarcoma,-,-,-,-,-,-,-,-,Inference,1,1.2,1.2.3,1.2.3.2,-,蛋白稳定性
4322,KP1,11156381,Germ-line CDKN2A mutations#are present in#kindreds with hereditary cutaneous melanoma,Cancer Association,CDKN2A,-,Hereditary cutaneous melanoma,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
5215,KP1,11156381,CDKN2A alterations#may contribute to#melanoma predisposition,Cancer Association,CDKN2A,-,Melanoma,-,-,-,-,-,-,-,-,Inference,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
5731,KP1,11156381,A 24-bp deletion in CDKN2A#was detected in#a patient with family history of melanoma,Cancer Association,CDKN2A,-,Melanoma,-,-,-,Family history,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
2514,KP1,11156381,Mutant p16 protein#was unable to bind#cyclin-dependent kinase 4 and cyclin-dependent kinase 6,Mechanism of Action,"CDKN2A, CDK4, CDK6",-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
4451,KP1,11156381,Proportion of CDKN2A mutation carriers#was significantly higher in#patients with three or more primary melanomas,Cancer Association,CDKN2A,-,Melanoma,-,-,-,Three or more primary melanomas,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
4206,KP1,8934552,p16INK4a and p15INK4b#are frequently mutated in#human tumors,Cancer Association,"CDKN2A, CDKN2B",-,Human tumors,-,-,-,Mutated,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.2,-,RB1基因丢失
3620,KP1,37044053,Correlation between RAB7A#and#development and immune infiltration of hepatocellular carcinoma is rarely studied,Signaling Networks,RAB7A,-,Hepatocellular carcinoma,-,-,-,-,-,-,-,-,Inference,6,6.1,6.1.1,6.1.1.2,-,髓系细胞浸润
1740,KP1,37044053,Immunohistochemistry (IHC)#was used to evaluate#correlation between RAB7A and immune checkpoints,Technical Methods,RAB7A,-,Hepatocellular carcinoma,-,-,-,-,-,-,-,-,Fact,6,6.1,6.1.1,6.1.1.3,-,免疫检查点表达
1155,KP1,37044053,RAB7A#was significantly positively correlated with#infiltration of macrophages and cancer-associated fibroblasts,Signaling Networks,RAB7A,"Macrophages, cancer-associated fibroblasts",Hepatocellular carcinoma,-,-,-,-,-,-,-,-,Fact,6,6.1,6.1.1,6.1.1.2,-,髓系细胞浸润
1211,KP1,37044053,RAB7A#was negatively correlated with#M2-type macrophages in most tumors,Signaling Networks,RAB7A,M2-type macrophages,Hepatocellular carcinoma,-,-,-,-,-,-,-,-,Fact,6,6.1,6.1.1,6.1.1.2,-,髓系细胞浸润
6954,KP1,37044053,Single-cell atlas#revealed#distribution and proportion of RAB7A in immune cells of HCC,Signaling Networks,RAB7A,Immune cells,Hepatocellular carcinoma,-,-,-,-,-,-,-,-,Fact,6,6.1,6.1.1,6.1.1.2,-,髓系细胞浸润
293,KP1,37044053,Knockdown of RAB7A#inhibited#activation of the PIK3CA-AKT pathway,Signaling Networks,"RAB7A,PIK3CA,AKT",-,-,-,PIK3CA-AKT,-,-,-,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
5964,KP1,37044053,"Knockdown of RAB7A#suppressed#expression of CDK4, CDK6, and CCNA2",Regulation,"RAB7A,CDK4,CDK6,CCNA2",-,-,-,-,-,-,downregulated,-,-,-,Fact,1,1.2,1.2.3,1.2.3.2,-,蛋白稳定性
2473,KP1,37044053,RAB7A#may serve as#a tumor prognostic and immune infiltration-related biomarker,Biomarker Analysis,RAB7A,-,"Cancer, HCC",-,-,-,-,-,-,-,-,Inference,7,7.2,7.2.1,7.2.1.3,-,免疫标志物
7159,KP1,37044053,"RAB7A#predicts#immunotherapy efficacy in certain cancer types, especially HCC",Predictive Biomarkers,RAB7A,-,HCC,-,-,-,-,-,-,-,-,Inference,7,7.1,7.1.1,7.1.1.1,-,基因突变
1216,KP1,11369633,RNA representing exon 2 of p16(INK4a) and p14(ARF)#was enhanced by#2.8- to 15.9-fold in 11 patients with PV,Expression Patterns,"CDKN2A (p16),CDKN2A (p14)",-,PV,-,-,-,11 patients,upregulated,-,-,-,Fact,5,5.3,5.3.3,5.3.3.1,-,基因表达改变
2588,KP1,11369633,mRNAs from first exons of INK4a and ARF#were increased in#erythroid and granulocyte-macrophage cells,Expression Patterns,"CDKN2A (INK4a),CDKN2A (ARF)","Erythroid cells, Granulocyte-macrophage cells",-,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.3,5.3.3.1,-,基因表达改变
3440,KP1,11369633,INK4a protein (p16(INK4a))#was increased in#PV ECFCs,Expression Patterns,CDKN2A (INK4a),Endothelial colony-forming cells (ECFCs),PV,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.3,5.3.3.1,-,基因表达改变
1308,KP1,11369633,p16(INK4a)#is an#important negative cell-cycle regulator,Cell Cycle Control,CDKN2A (INK4a),-,-,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
5781,KP1,11369633,p16(INK4a) expression#was dramatically increased in#PV ECFCs,Expression Patterns,CDKN2A (INK4a),Endothelial colony-forming cells (ECFCs),PV,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.3,5.3.3.1,-,基因表达改变
4268,KP1,14551738,CDK6 oncogene#is overexpressed and disrupted in#many hematological malignancies,Cancer Association,CDK6,-,Hematological malignancies,-,-,-,-,upregulated,-,-,-,Fact,2,2.1,2.1.1,2.1.1.1,-,CDK4/6基因扩增
4276,KP1,14551738,CDK6 expression#was detected#in myeloid leukemia,Expression Patterns,CDK6,-,Myeloid leukemia,-,-,-,-,-,-,-,-,Fact,2,2.3,2.3.3,2.3.3.2,-,蛋白表达量
3474,KP1,22932448,"Deregulation of the p16/CDK4/cyclin D1 complex#has been established in#a variety of human tumors including gliomas, sarcomas, melanoma, breast and colorectal cancer",Cancer Association,"CDKN2A (p16),CDK4,CCND1",-,"Gliomas, Sarcomas, Melanoma, Breast cancer, Colorectal cancer",-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
5299,KP1,22932448,CDK4 mutation#may play a major role in#development and progression of squamous cell carcinoma of head and neck,Cancer Association,CDK4,-,Squamous cell carcinoma of head and neck,-,-,-,-,-,-,-,-,Inference,2,2.1,2.1.1,2.1.1.4,-,关键基因突变
6875,KP1,11828258,Two genes#have been implicated in#melanoma pathogenesis,Cancer Association,"CDKN2A (p16),CDK4",-,Melanoma,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,2.1.1.3,-,CCNE1过表达
3571,KP1,35108033,Selective CDK4/6 inhibitors#are clinically evaluated in#sarcomas,Clinical Trial Data,"CDK4,CDK6",-,Sarcomas,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
1384,KP1,35108033,CDK4/6 inhibitors#are supported by#current clinical data in subsets of sarcoma,Therapeutic Response,"CDK4,CDK6",-,Sarcomas,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
555,KP1,35108033,Strategies to identify responders and resistance mechanisms#are important to maximize#clinical utility of CDK4/6 inhibitors in sarcoma,Resistance Management,"CDK4,CDK6",-,Sarcomas,CDK4/6 inhibitors,-,-,-,-,-,-,-,Inference,2,2.5,2.5.1,2.5.1.2,-,序贯治疗
7404,KP1,35108033,CDK4/6 inhibitors#indicate sensitivity in#sarcoma,Cancer Association,"CDK4,CCND,CCNE,RB1,E2F1,CDKN2A",-,Sarcoma,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3054,KP1,35108033,CDK4/6 inhibitors#represent#a major breakthrough for targeted cancer treatment,Therapeutic Development,"CDK4,CDK6",-,Cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
7394,KP1,31592235,Cyclin B1 and CCND1#are overexpressed in#seminal vesicle tumors of TRAMP mice,Expression Patterns,"CCNB1,CCND1",-,Seminal vesicle tumors,-,-,-,"TRAMP mice, age-related",Upregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
2825,KP1,31592235,P21 and P27#are augmented in#TRAMP mice seminal vesicle tumors,Expression Patterns,"CDKN1A,CDKN1B",-,Seminal vesicle tumors,-,-,-,TRAMP mice,Upregulated,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
715,KP1,31592235,"CDK4, CDK6, and phosphorylated RB#increase in#TRAMP mice seminal vesicle tumors",Expression Patterns,"CDK4,CDK6,RB1",-,Seminal vesicle tumors,-,-,-,TRAMP mice,Upregulated,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
2508,KP1,31592235,EGFR and AKT#increase in#TRAMP mice seminal vesicle tumors,Expression Patterns,"EGFR,AKT1",-,Seminal vesicle tumors,-,-,-,TRAMP mice,Upregulated,-,-,-,Fact,1,1.3,1.3.1,1.3.1.1,-,信号交叉激活
1815,KP1,30718927,Selection in 551 esophageal adenocarcinomas#defines#genomic biomarkers for the clinic,Biomarker Analysis,-,-,Esophageal adenocarcinoma,-,-,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,RB1突变
3424,KP1,30718927,77 EAC driver genes#were discovered in#a cohort of genomically characterized EACs,Biomarker Analysis,-,-,Esophageal adenocarcinoma,-,-,-,-,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,RB1突变
3616,KP1,30718927,Driver events in EAC#are derived from#mutations more commonly than copy number alterations,Molecular Event,-,-,Esophageal adenocarcinoma,-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
1812,KP1,30718927,Mutual exclusivity or co-occurrence of events#suggests#strong functional relationships in dysregulated EAC pathways,Pathway & Network Categories,-,-,Esophageal adenocarcinoma,-,-,-,-,-,-,-,-,Inference,1,1.3,1.3.3,1.3.3.2,-,DNA修复机制
6346,KP1,30718927,Sensitizing events for CDK4/6 inhibitors#are correlated with#clinically relevant sensitivity in EAC cell lines and organoids,Therapeutic Response,"CDK4,CDK6",-,Esophageal adenocarcinoma,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3155,KP1,21910158,CDK4 amplification#is substituted by#alterations in liposarcomas,Cancer Association,CDK4,-,Liposarcoma,-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,CDK4扩增
367,KP1,10861313,"CDKN2A#encodes#p16, which inhibits cyclin D1-CDK4 complex",Mechanism of Action,"CDKN2A,CDK4,CCND1",-,Melanoma,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
5057,KP1,19946100,Supernumerary chromosomes#are amplified in#MDM2 and CDK4 genes in WDLPS and DDLPS,Cancer Association,"MDM2,CDK4",-,"Well-differentiated liposarcoma, Dedifferentiated liposarcoma",-,-,-,-,-,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,CDK4扩增
2966,KP1,23546221,CDKN2A#is comprehensively analyzed in#Latvian familial melanoma probands,Biomarker Analysis,CDKN2A,-,Melanoma,-,-,-,Latvian familial melanoma probands,-,-,-,-,Fact,7,7.1,7.1.1,7.1.1.1,-,RB1突变
5071,KP1,19626636,Well-differentiated and undifferentiated liposarcomas#are characterized by#high-level amplifications of chromosome 12 regions including CDK4 and MDM2 genes,Cancer Association,"CDK4,MDM2",-,Liposarcomas,-,-,-,-,upregulated,-,-,-,Fact,5,5.3,5.3.1,5.3.1.1,-,CDK4扩增
4940,KP1,9426066,p16/CDKN2A and CDK4#determine#progression from G1 to S phase,Cell Cycle Control,"CDKN2A,CDK4",-,-,-,Cell cycle pathway,-,-,-,-,-,-,Fact,1,1.1,1.1.1,-,-,G1/S期转换调控
7441,KP1,9426066,"Alterations in p16/CDKN2A#have been documented in#multiple cancers, including melanoma",Cancer Association,CDKN2A,-,"Melanoma, multiple cancers",-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.1,-,-,基因组改变
691,KP1,9426066,Two alterations at codon 24 in CDK4#include#arginine-to-cysteine and arginine-to-histidine substitutions,Molecular Event triples,CDK4,-,-,-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
6531,KP1,9426066,Two alterations in exon 2 of CDK4#were detected in#cell lines derived from metastatic melanomas,Molecular Event triples,CDK4,-,Melanoma,-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
6161,KP1,24965044,Tumor-specific translocations and fusion genes#have been identified in#ALT/WDL with amplified MDM2 and CDK4 genes,Cancer Association,"MDM2,CDK4",-,"Adipocytic tumors, atypical lipomatous tumors/well-differentiated liposarcomas (ALT/WDL)",-,Retinoblastoma pathway,-,-,upregulated,-,-,-,Fact,5,5.4,5.4.1,5.4.1.3,-,断裂点特征
